id,Machine failure,prob
136429,0,0.0021
136430,0,0.001
136431,0,0.0026
136432,0,0.004
136433,0,0.0037
136434,0,0.0028
136435,0,0.0036
136436,0,0.005
136437,0,0.0011
136438,0,0.0011
136439,0,0.0023
136440,0,0.0023
136441,0,0.0011
136442,0,0.0017
136443,0,0.0025
136444,0,0.0055
136445,0,0.0009
136446,1,0.9953
136447,0,0.0021
136448,0,0.0015
136449,0,0.0064
136450,0,0.004
136451,0,0.0198
136452,0,0.021
136453,0,0.0037
136454,0,0.0017
136455,0,0.0014
136456,0,0.0059
136457,0,0.0071
136458,0,0.0046
136459,0,0.0035
136460,0,0.0032
136461,0,0.0012
136462,0,0.0233
136463,0,0.0016
136464,0,0.0027
136465,0,0.0018
136466,0,0.0019
136467,0,0.0011
136468,0,0.0029
136469,0,0.0014
136470,0,0.0023
136471,0,0.0088
136472,0,0.0067
136473,0,0.0029
136474,0,0.0019
136475,0,0.0042
136476,0,0.0074
136477,0,0.0021
136478,0,0.0022
136479,0,0.0017
136480,0,0.0059
136481,0,0.0023
136482,0,0.0306
136483,0,0.0039
136484,0,0.001
136485,0,0.0016
136486,0,0.002
136487,0,0.0015
136488,0,0.0043
136489,0,0.0011
136490,0,0.0254
136491,0,0.0045
136492,0,0.0035
136493,0,0.0036
136494,0,0.0011
136495,0,0.0026
136496,0,0.004
136497,0,0.0023
136498,0,0.0108
136499,0,0.0014
136500,0,0.001
136501,0,0.0014
136502,0,0.0053
136503,0,0.0029
136504,0,0.0013
136505,0,0.0009
136506,0,0.0029
136507,0,0.0007
136508,0,0.0012
136509,0,0.0047
136510,0,0.0016
136511,0,0.0101
136512,0,0.0011
136513,0,0.0062
136514,0,0.0022
136515,0,0.0026
136516,0,0.0034
136517,0,0.0022
136518,0,0.0016
136519,0,0.0032
136520,0,0.0022
136521,0,0.0017
136522,0,0.0031
136523,0,0.0012
136524,0,0.0014
136525,0,0.0052
136526,0,0.0065
136527,0,0.0074
136528,0,0.0013
136529,0,0.0065
136530,0,0.0033
136531,0,0.0037
136532,0,0.0038
136533,0,0.0038
136534,0,0.0005
136535,0,0.0024
136536,0,0.0023
136537,0,0.0008
136538,0,0.0057
136539,0,0.0014
136540,0,0.002
136541,0,0.0007
136542,0,0.0037
136543,0,0.0079
136544,0,0.0026
136545,0,0.004
136546,0,0.0009
136547,0,0.0025
136548,0,0.0021
136549,0,0.0019
136550,0,0.0088
136551,0,0.0015
136552,0,0.0016
136553,0,0.0014
136554,0,0.0026
136555,0,0.0154
136556,0,0.0059
136557,0,0.004
136558,0,0.004
136559,0,0.003
136560,0,0.0055
136561,0,0.0071
136562,0,0.0023
136563,0,0.0031
136564,0,0.0016
136565,0,0.0164
136566,0,0.001
136567,0,0.0053
136568,0,0.0031
136569,0,0.0037
136570,0,0.0009
136571,0,0.0072
136572,0,0.0037
136573,0,0.0015
136574,0,0.0054
136575,0,0.0014
136576,0,0.0051
136577,0,0.0053
136578,0,0.0017
136579,0,0.0063
136580,0,0.0014
136581,0,0.0016
136582,0,0.0011
136583,0,0.0013
136584,0,0.002
136585,0,0.0037
136586,0,0.0588
136587,0,0.001
136588,0,0.0056
136589,0,0.0028
136590,0,0.0016
136591,0,0.0036
136592,0,0.0091
136593,0,0.0067
136594,0,0.0005
136595,0,0.0017
136596,0,0.0012
136597,0,0.0016
136598,0,0.0047
136599,0,0.0026
136600,0,0.0019
136601,0,0.0052
136602,0,0.0068
136603,0,0.0035
136604,0,0.0014
136605,0,0.0075
136606,0,0.002
136607,0,0.0043
136608,0,0.0023
136609,0,0.005
136610,0,0.0055
136611,0,0.0011
136612,0,0.0024
136613,0,0.0031
136614,0,0.001
136615,0,0.0007
136616,0,0.0018
136617,0,0.009
136618,0,0.0022
136619,0,0.0019
136620,0,0.0018
136621,0,0.0027
136622,0,0.0016
136623,0,0.0012
136624,0,0.0018
136625,0,0.0035
136626,0,0.0004
136627,0,0.003
136628,0,0.0038
136629,0,0.0004
136630,0,0.0011
136631,0,0.0064
136632,0,0.0039
136633,0,0.0015
136634,0,0.0015
136635,0,0.0119
136636,0,0.0136
